"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 00:00","2022","04","01","00:00","5.3","","2.2","","80","","","","27","","12","","32.2","","101.82","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 01:00","2022","04","01","01:00","4.0","","2.6","","90","","","","24","","10","","32.2","","101.80","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 02:00","2022","04","01","02:00","3.8","","3.2","","96","","","","22","","4","","32.2","","101.78","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 03:00","2022","04","01","03:00","3.8","","1.9","","87","","","","36","","3","","32.2","","101.78","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 04:00","2022","04","01","04:00","3.0","","3.0","","100","","","","25","","4","","32.2","","101.77","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 05:00","2022","04","01","05:00","3.1","","3.1","","100","","","","20","","4","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 06:00","2022","04","01","06:00","3.0","","3.0","","100","","","","0","","1","","48.3","","101.71","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 07:00","2022","04","01","07:00","4.5","","4.5","","100","","","","36","","2","","48.3","","101.69","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 08:00","2022","04","01","08:00","6.9","","3.2","","77","","","","25","","10","","48.3","","101.70","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 09:00","2022","04","01","09:00","7.9","","2.8","","70","","","","25","","10","","48.3","","101.71","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 10:00","2022","04","01","10:00","8.3","","4.3","","76","","","","14","","13","","48.3","","101.72","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 11:00","2022","04","01","11:00","8.1","","4.5","","78","","","","13","","21","","48.3","","101.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 12:00","2022","04","01","12:00","8.0","","6.4","","90","","","","13","","20","","48.3","","101.68","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 13:00","2022","04","01","13:00","8.4","","6.0","","84","","","","14","","22","","48.3","","101.68","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 14:00","2022","04","01","14:00","8.1","","4.5","","78","","","","14","","19","","48.3","","101.64","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 15:00","2022","04","01","15:00","8.1","","5.1","","81","","","","14","","16","","48.3","","101.62","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 16:00","2022","04","01","16:00","8.0","","6.8","","92","","","","15","","13","","32.2","","101.60","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 17:00","2022","04","01","17:00","7.6","","7.3","","98","","","","13","","11","","48.3","","101.58","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 18:00","2022","04","01","18:00","7.8","","4.3","","78","","","","12","","8","","48.3","","101.55","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 19:00","2022","04","01","19:00","7.3","","6.4","","94","","","","15","","7","","32.2","","101.50","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 20:00","2022","04","01","20:00","7.2","","7.2","","100","","","","36","","2","","32.2","","101.52","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 21:00","2022","04","01","21:00","6.9","","6.9","","100","","","","19","","6","","32.2","","101.54","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 22:00","2022","04","01","22:00","7.1","","3.8","","79","","","","21","","5","","32.2","","101.53","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-01 23:00","2022","04","01","23:00","7.0","","2.5","","73","","","","24","","5","","32.2","","101.50","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-02 00:00","2022","04","02","00:00","7.3","","2.6","","72","","","","27","","20","","32.2","","101.51","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-02 01:00","2022","04","02","01:00","7.1","","1.9","","69","","","","24","","22","","32.2","","101.54","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-02 02:00","2022","04","02","02:00","7.2","","1.3","","66","","","","25","","25","","32.2","","101.63","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-04-02 03:00","2022","04","02","03:00","7.2","","1.1","","65","","","","26","","26","","32.2","","101.68","","","","","","NA"
